r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,--,--,ba,bk,ba,bb,bn,br
--,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,--,--,ba,bk,ba,bb,bn,br
--,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,rr
rr,rn,rb,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,br
--,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,rr
rr,rn,rb,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,br
--,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,rr,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,br
br,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,rr,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,br
br,--,--,bn,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,rr,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,--
--,--,--,--,bk,ba,bb,--,br
br,--,--,bn,ba,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,rr,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,--
--,--,--,--,bk,ba,bb,--,br
br,--,--,bn,ba,--,--,--,--
--,bc,--,--,bb,--,--,bc,bn
bp,--,bp,--,bp,--,bp,--,bp
